dictionary_id,dataset_id,file_pattern,file_role,format,object_or_sheet,variable_name_or_pattern,description,data_type,unit_or_scale,allowed_values_or_range,missing_value_convention,spatial_support,temporal_support,source_or_provenance,source_url,generated_by,used_by,notes,verification_status
D0028,CALIBRATION_SUMMARY,Output/Intermediate/calibration_parameter_summary.csv,generated intermediate,CSV,,nugget_variance,Latent nugget variance for the stage.,numeric,latent index squared,,,analysis-wide,event years / runtime,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,documentation and diagnostics,,verified from current scripts
D0029,CALIBRATION_SUMMARY,Output/Intermediate/calibration_parameter_summary.csv,generated intermediate,CSV,,total_variance,Sum of process and nugget variances.,numeric,latent index squared,,,analysis-wide,event years / runtime,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,documentation and diagnostics,,verified from current scripts
D0030,CALIBRATION_SUMMARY,Output/Intermediate/calibration_parameter_summary.csv,generated intermediate,CSV,,number_of_event_years,Number of REACHES event years used.,integer,years,,,analysis-wide,event years / runtime,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,documentation and diagnostics,,verified from current scripts
D0031,CALIBRATION_SUMMARY,Output/Intermediate/calibration_parameter_summary.csv,generated intermediate,CSV,,calibration_engine,Method used to construct calibration curves.,character,none,analytic or configured alternative,,analysis-wide,event years / runtime,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,documentation and diagnostics,,verified from current scripts
D0032,CALIBRATION_SUMMARY,Output/Intermediate/calibration_parameter_summary.csv,generated intermediate,CSV,,elapsed_minutes,Elapsed runtime for calibration.,numeric,minutes,,,analysis-wide,event years / runtime,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,documentation and diagnostics,,verified from current scripts
D0033,CALIBRATION_F1,Output/Intermediate/calibration_f1.csv,generated intermediate,CSV,,total_variance,Candidate total latent variance.,numeric,latent index squared,,,analysis-wide,calibration grid,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R and diagnostics,,verified from current scripts
D0034,CALIBRATION_F1,Output/Intermediate/calibration_f1.csv,generated intermediate,CSV,,observed_variance,Implied observed ordinal variance f1(total_variance).,numeric,observed index squared,,,analysis-wide,calibration grid,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R and diagnostics,,verified from current scripts
D0035,CALIBRATION_F2,Output/Intermediate/calibration_f2.csv,generated intermediate,CSV,,nugget_variance,Candidate latent nugget variance.,numeric,latent index squared,,,analysis-wide,calibration grid,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R and diagnostics,,verified from current scripts
D0036,CALIBRATION_F2,Output/Intermediate/calibration_f2.csv,generated intermediate,CSV,,observed_nugget,Implied observed ordinal nugget f2(nugget_variance).,numeric,observed index squared,,,analysis-wide,calibration grid,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R and diagnostics,,verified from current scripts
D0037,CALIBRATION_F3,Output/Intermediate/calibration_f3_manuscript.csv,generated intermediate,CSV,,alpha,Candidate latent spatial range.,numeric,kilometres,,,analysis-wide,calibration grid,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R and diagnostics,,verified from current scripts
D0038,CALIBRATION_F3,Output/Intermediate/calibration_f3_manuscript.csv,generated intermediate,CSV,,f3_alpha,Implied observed-scale spatial range under manuscript Equation (5).,numeric,kilometres,,,analysis-wide,calibration grid,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R and diagnostics,,verified from current scripts
D0039,CALIBRATION_F3_LEGACY,Output/Intermediate/calibration_f3_legacy.csv,generated intermediate,CSV,,alpha,Candidate latent spatial range.,numeric,kilometres,,,analysis-wide,calibration grid,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R and diagnostics,,verified from current scripts
D0040,CALIBRATION_F3_LEGACY,Output/Intermediate/calibration_f3_legacy.csv,generated intermediate,CSV,,f3_alpha,Implied observed-scale spatial range under the legacy f3 target.,numeric,kilometres,,,analysis-wide,calibration grid,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/prepare_calibration.R,Code/Figure4.R and diagnostics,,verified from current scripts
D0041,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,coordinates$location_id,Sequential identifier for a native LME grid location.,integer,none,,No missing values expected,native LME grid point,time-invariant,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0042,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,coordinates$lati,Latitude of the native LME grid location.,numeric,decimal degrees north,,No missing values expected,native LME grid point,time-invariant,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0043,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,coordinates$long,Longitude of the native LME grid location.,numeric,decimal degrees east,,No missing values expected,native LME grid point,time-invariant,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0044,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,years,Annual analysis-year vector.,integer vector,Common Era year,,No missing values expected,all locations,1368–1911,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0045,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,members,LME ensemble-member identifiers.,character vector,none,,No missing values expected,all locations,13 members,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0046,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,units,Unit label for annual_kelvin.,character,Kelvin,,No missing values expected,all locations,analysis-wide,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0047,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,source_frequency,Frequency of the prepared member inputs.,character,monthly,,No missing values expected,all locations,source metadata,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0048,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,annualization,Rule used to aggregate monthly temperatures.,character,none,,No missing values expected,all locations,annual,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0049,LME_ANNUAL_RDS,Output/Intermediate/LME/lme_annual_1368_1911.rds OR Data/LME data/precomputed/lme_annual_1368_1911.rds,generated/precomputed intermediate,RDS,named list component,"annual_kelvin[location,year,member]",Annual LME temperature array.,numeric array,Kelvin,,No missing values expected,266 native LME locations,1368–1911; 13 members,CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,Get_tempe_all_data.R; Prior.R; Figure7e.R; Assimilation_grid.R; coverage_population_GAM.R,,verified from current scripts
D0050,LME_ENSEMBLE_MEAN,Output/Intermediate/LME/lme_ensemble_mean_1368_1911.csv,generated intermediate,CSV,,location_id,Native LME location identifier.,integer,none,,No missing values expected,native LME grid point,time-invariant,Derived from 13 CESM LME members,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,FigureS5.R and other grid summaries,,verified from current scripts
D0051,LME_ENSEMBLE_MEAN,Output/Intermediate/LME/lme_ensemble_mean_1368_1911.csv,generated intermediate,CSV,,lati,Latitude of native LME grid location.,numeric,decimal degrees north,,No missing values expected,native LME grid point,time-invariant,Derived from 13 CESM LME members,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,FigureS5.R and other grid summaries,,verified from current scripts
D0052,LME_ENSEMBLE_MEAN,Output/Intermediate/LME/lme_ensemble_mean_1368_1911.csv,generated intermediate,CSV,,long,Longitude of native LME grid location.,numeric,decimal degrees east,,No missing values expected,native LME grid point,time-invariant,Derived from 13 CESM LME members,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,FigureS5.R and other grid summaries,,verified from current scripts
D0053,LME_ENSEMBLE_MEAN,Output/Intermediate/LME/lme_ensemble_mean_1368_1911.csv,generated intermediate,CSV,,xYYYY,Across-member annual ensemble-mean temperature for calendar year YYYY.,numeric,Kelvin,,No missing values expected,native LME grid point,"YYYY = 1368,…,1911",Derived from 13 CESM LME members,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,FigureS5.R and other grid summaries,,verified from current scripts
D0054,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,member,Prepared ensemble-member identifier.,character,none,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0055,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,input_file,Absolute path used for the member input during the run.,character,file path,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0056,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,number_of_locations,Number of native LME locations.,integer,locations,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0057,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,number_of_years,Number of annual target years.,integer,years,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0058,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,first_year,First annual target year.,integer,Common Era year,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0059,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,last_year,Last annual target year.,integer,Common Era year,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0060,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,minimum_kelvin,Minimum annual temperature in the member.,numeric,Kelvin,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0061,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,maximum_kelvin,Maximum annual temperature in the member.,numeric,Kelvin,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0062,LME_ANNUAL_DIAGNOSTICS,Output/Intermediate/LME/lme_annual_diagnostics.csv,generated diagnostic,CSV,,mean_kelvin,Mean annual temperature in the member.,numeric,Kelvin,,,all native LME locations,1368–1911 by member,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,workflow diagnostics,,verified from current scripts
D0063,LME_CITY3_RDS,Output/Intermediate/LME/lme_city3_annual_1368_1911.rds,generated intermediate,RDS,named list component,coordinates,"Three-city coordinate table containing city, long, and lati.",data.frame,mixed,,No missing values expected,Beijing; Shanghai; Hong Kong,time-invariant,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,city-specific analyses,,verified from current scripts
D0064,LME_CITY3_RDS,Output/Intermediate/LME/lme_city3_annual_1368_1911.rds,generated intermediate,RDS,named list component,years,Annual analysis-year vector.,integer vector,Common Era year,,No missing values expected,three city locations,1368–1911,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,city-specific analyses,,verified from current scripts
D0065,LME_CITY3_RDS,Output/Intermediate/LME/lme_city3_annual_1368_1911.rds,generated intermediate,RDS,named list component,members,LME ensemble-member identifiers.,character vector,none,,No missing values expected,three city locations,13 members,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,city-specific analyses,,verified from current scripts
D0066,LME_CITY3_RDS,Output/Intermediate/LME/lme_city3_annual_1368_1911.rds,generated intermediate,RDS,named list component,units,Unit label for annual_kelvin.,character,Kelvin,,No missing values expected,three city locations,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,city-specific analyses,,verified from current scripts
D0067,LME_CITY3_RDS,Output/Intermediate/LME/lme_city3_annual_1368_1911.rds,generated intermediate,RDS,named list component,spatial_method,Description of the spatial interpolation method.,character,none,,No missing values expected,three target points,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,city-specific analyses,,verified from current scripts
D0068,LME_CITY3_RDS,Output/Intermediate/LME/lme_city3_annual_1368_1911.rds,generated intermediate,RDS,named list component,basis_dimension,Thin-plate regression-spline basis dimension.,integer,basis functions,,No missing values expected,interpolation model,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,city-specific analyses,,verified from current scripts
D0069,LME_CITY3_RDS,Output/Intermediate/LME/lme_city3_annual_1368_1911.rds,generated intermediate,RDS,named list component,fixed_smoothing_parameter,Fixed spline smoothing parameter.,numeric,none,,No missing values expected,interpolation model,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/DataPreparation/prepare_lme_annual.R,city-specific analyses,,verified from current scripts
